Date,Forecast,Lower_CI_95,Upper_CI_95,CI_Width
2025-01-15 21:00:00,4134.591737621377,1708.71579548385,6560.467679758905,4851.751884275056
2025-01-15 22:00:00,4134.952583761165,1708.971624797623,6560.933542724708,4851.961917927085
2025-01-15 23:00:00,4135.3132795409765,1709.2273957916582,6561.399163290294,4852.171767498636
2025-01-16 00:00:00,4135.673825023464,1709.4831084437747,6561.864541603153,4852.3814331593785
2025-01-16 01:00:00,4136.0342202712545,1709.7387627318444,6562.329677810665,4852.590915078821
2025-01-16 02:00:00,4136.394465346948,1709.9943586337945,6562.794572060102,4852.800213426308
2025-01-16 03:00:00,4136.75456031312,1710.2498961276192,6563.259224498621,4853.009328371001
2025-01-16 04:00:00,4137.114505232319,1710.5053751913756,6563.7236352732625,4853.218260081887
2025-01-16 05:00:00,4137.4743001670695,1710.7607958031808,6564.187804530959,4853.427008727778
2025-01-16 06:00:00,4137.833945179866,1711.0161579412002,6564.6517324185315,4853.635574477332
2025-01-16 07:00:00,4138.19344033318,1711.2714615836612,6565.115419082698,4853.843957499037
2025-01-16 08:00:00,4138.552785689455,1711.5267067088544,6565.578864670056,4854.052157961201
2025-01-16 09:00:00,4138.91198131111,1711.7818932951354,6566.042069327084,4854.2601760319485
2025-01-16 10:00:00,4139.271027260537,1712.0370213209126,6566.505033200162,4854.468011879249
2025-01-16 11:00:00,4139.629923600104,1712.2920907646508,6566.967756435557,4854.675665670906
2025-01-16 12:00:00,4139.98867039215,1712.547101604876,6567.4302391794245,4854.8831375745485
2025-01-16 13:00:00,4140.34726769899,1712.8020538201768,6567.892481577805,4855.090427757628
2025-01-16 14:00:00,4140.705715582913,1713.0569473891942,6568.354483776633,4855.297536387439
2025-01-16 15:00:00,4141.064014106182,1713.3117822906224,6568.816245921742,4855.5044636311195
2025-01-16 16:00:00,4141.422163331033,1713.5665585032157,6569.2777681588495,4855.711209655634
2025-01-16 17:00:00,4141.780163319677,1713.8212760057959,6569.739050633558,4855.917774627762
2025-01-16 18:00:00,4142.138014134298,1714.0759347772419,6570.200093491354,4856.124158714112
2025-01-16 19:00:00,4142.495715837056,1714.3305347964956,6570.660896877616,4856.33036208112
2025-01-16 20:00:00,4142.853268490084,1714.5850760425492,6571.121460937618,4856.536384895069
2025-01-16 21:00:00,4143.210672155488,1714.8395584944533,6571.581785816523,4856.742227322069
2025-01-16 22:00:00,4143.56792689535,1715.0939821313145,6572.041871659385,4856.94788952807
2025-01-16 23:00:00,4143.9250327717255,1715.3483469322932,6572.501718611158,4857.153371678865
2025-01-17 00:00:00,4144.281989846643,1715.6026528766133,6572.961326816673,4857.35867394006
2025-01-17 01:00:00,4144.638798182108,1715.856899943562,6573.420696420654,4857.563796477092
2025-01-17 02:00:00,4144.995457840097,1716.1110881124732,6573.87982756772,4857.768739455247
2025-01-17 03:00:00,4145.351968882562,1716.365217362742,6574.338720402382,4857.9735030396405
2025-01-17 04:00:00,4145.708331371429,1716.6192876738241,6574.797375069034,4858.17808739521
2025-01-17 05:00:00,4146.0645453686,1716.873299025236,6575.255791711965,4858.382492686729
2025-01-17 06:00:00,4146.420610935948,1717.1272513965446,6575.713970475352,4858.586719078807
2025-01-17 07:00:00,4146.776528135324,1717.381144767376,6576.171911503272,4858.790766735896
2025-01-17 08:00:00,4147.132297028547,1717.634979117408,6576.629614939687,4858.994635822279
2025-01-17 09:00:00,4147.487917677418,1717.888754426384,6577.087080928453,4859.19832650207
2025-01-17 10:00:00,4147.843390143707,1718.1424706740959,6577.544309613319,4859.401838939222
2025-01-17 11:00:00,4148.198714489159,1718.3961278403958,6578.001301137922,4859.605173297527
2025-01-17 12:00:00,4148.553890775495,1718.649725905197,6578.458055645793,4859.808329740596
2025-01-17 13:00:00,4148.90891906441,1718.903264848465,6578.914573280355,4860.011308431891
2025-01-17 14:00:00,4149.263799417571,1719.1567446502236,6579.370854184919,4860.214109534696
2025-01-17 15:00:00,4149.618531896623,1719.4101652905556,6579.82689850269,4860.416733212134
2025-01-17 16:00:00,4149.973116563181,1719.6635267495953,6580.282706376767,4860.619179627172
2025-01-17 17:00:00,4150.327553478838,1719.916829007529,6580.738277950148,4860.821448942619
2025-01-17 18:00:00,4150.68184270516,1720.1700720446024,6581.193613365718,4861.023541321116
2025-01-17 19:00:00,4151.035984303688,1720.4232558411231,6581.648712766252,4861.225456925129
2025-01-17 20:00:00,4151.389978335935,1720.6763803774547,6582.103576294415,4861.42719591696
2025-01-17 21:00:00,4151.74382486339,1720.929445634009,6582.558204092771,4861.628758458763
2025-01-17 22:00:00,4152.0975239475165,1721.1824515912563,6583.012596303777,4861.830144712521
2025-01-17 23:00:00,4152.451075649753,1721.4353982297266,6583.466753069779,4862.031354840052
2025-01-18 00:00:00,4152.80448003151,1721.6882855300073,6583.920674533013,4862.232389003006
2025-01-18 01:00:00,4153.157737154176,1721.9411134727388,6584.3743608356135,4862.433247362875
2025-01-18 02:00:00,4153.510847079112,1722.1938820386126,6584.827812119611,4862.633930080998
2025-01-18 03:00:00,4153.863809867653,1722.4465912083724,6585.281028526933,4862.834437318561
2025-01-18 04:00:00,4154.216625581108,1722.6992409628192,6585.734010199397,4863.034769236578
2025-01-18 05:00:00,4154.569294280762,1722.9518312828163,6586.186757278707,4863.23492599589
2025-01-18 06:00:00,4154.921816027873,1723.2043621492835,6586.639269906464,4863.434907757181
2025-01-18 07:00:00,4155.274190883675,1723.4568335431914,6587.091548224159,4863.634714680968
2025-01-18 08:00:00,4155.626418909376,1723.709245445567,6587.543592373186,4863.834346927619
2025-01-18 09:00:00,4155.9785001661585,1723.96159783749,6587.995402494827,4864.033804657338
2025-01-18 10:00:00,4156.330434715179,1724.2138907000926,6588.446978730265,4864.233088030172
2025-01-18 11:00:00,4156.682222617566,1724.4661240145615,6588.898321220571,4864.43219720601
2025-01-18 12:00:00,4157.03386393443,1724.718297762145,6589.349430106715,4864.63113234457
2025-01-18 13:00:00,4157.385358726848,1724.9704119241387,6589.800305529557,4864.829893605418
2025-01-18 14:00:00,4157.736707055876,1725.2224664818918,6590.25094762986,4865.028481147969
2025-01-18 15:00:00,4158.087908982543,1725.4744614168121,6590.701356548274,4865.226895131462
2025-01-18 16:00:00,4158.438964567854,1725.7263967103736,6591.151532425334,4865.425135714961
2025-01-18 17:00:00,4158.789873872786,1725.9782723440962,6591.601475401476,4865.623203057379
2025-01-18 18:00:00,4159.140636958294,1726.2300882995496,6592.051185617038,4865.821097317488
2025-01-18 19:00:00,4159.491253885303,1726.4818445583537,6592.500663212253,4866.0188186539
2025-01-18 20:00:00,4159.841724714718,1726.7335411021836,6592.949908327253,4866.21636722507
2025-01-18 21:00:00,4160.1920495074155,1726.985177912767,6593.3989211020635,4866.413743189296
2025-01-18 22:00:00,4160.542228324246,1727.2367549718942,6593.847701676597,4866.610946704703
2025-01-18 23:00:00,4160.892261226038,1727.4882722614097,6594.296250190666,4866.807977929257
2025-01-19 00:00:00,4161.242148273589,1727.7397297632037,6594.744566783975,4867.004837020771
2025-01-19 01:00:00,4161.591889527677,1727.9911274592218,6595.192651596133,4867.201524136912
2025-01-19 02:00:00,4161.941485049052,1728.242465331467,6595.640504766638,4867.398039435171
2025-01-19 03:00:00,4162.290934898439,1728.4937433620007,6596.088126434878,4867.5943830728775
2025-01-19 04:00:00,4162.640239136538,1728.7449615329292,6596.535516740147,4867.790555207217
2025-01-19 05:00:00,4162.9893978240225,1728.9961198264095,6596.982675821635,4867.986555995225
2025-01-19 06:00:00,4163.338411021542,1729.247218224652,6597.429603818432,4868.18238559378
2025-01-19 07:00:00,4163.68727878972,1729.498256709926,6597.876300869514,4868.378044159588
2025-01-19 08:00:00,4164.036001189155,1729.7492352645554,6598.322767113756,4868.573531849201
2025-01-19 09:00:00,4164.384578280421,1730.000153870919,6598.769002689924,4868.768848819005
2025-01-19 10:00:00,4164.733010124066,1730.2510125114386,6599.215007736693,4868.963995225255
2025-01-19 11:00:00,4165.0812967806105,1730.5018111685881,6599.660782392633,4869.158971224046
2025-01-19 12:00:00,4165.429438310555,1730.7525498248988,6600.106326796212,4869.353776971313
2025-01-19 13:00:00,4165.777434774371,1731.0032284629515,6600.55164108579,4869.548412622838
2025-01-19 14:00:00,4166.1252862325055,1731.25384706539,6600.996725399621,4869.742878334231
2025-01-19 15:00:00,4166.472992745382,1731.5044056149063,6601.441579875857,4869.937174260951
2025-01-19 16:00:00,4166.820554373395,1731.7549040942408,6601.886204652548,4870.131300558307
2025-01-19 17:00:00,4167.1679711769175,1732.0053424861894,6602.330599867646,4870.325257381457
2025-01-19 18:00:00,4167.515243216296,1732.2557207735972,6602.7747656589945,4870.519044885397
2025-01-19 19:00:00,4167.862370551851,1732.506038939362,6603.21870216434,4870.712663224978
2025-01-19 20:00:00,4168.209353243879,1732.7562969664305,6603.662409521328,4870.906112554898
2025-01-19 21:00:00,4168.556191352651,1733.0064948378022,6604.105887867499,4871.099393029697
2025-01-19 22:00:00,4168.902884938414,1733.256632536537,6604.549137340291,4871.292504803754
2025-01-19 23:00:00,4169.2494340613885,1733.506710045744,6604.992158077033,4871.48544803129
2025-01-20 00:00:00,4169.59583878177,1733.7567273485815,6605.434950214958,4871.678222866376
2025-01-20 01:00:00,4169.94209915973,1734.0066844282587,6605.877513891201,4871.870829462941
2025-01-20 02:00:00,4170.288215255413,1734.2565812680327,6606.319849242793,4872.06326797476
2025-01-20 03:00:00,4170.6341871289405,1734.5064178512134,6606.761956406668,4872.255538555455
2025-01-20 04:00:00,4170.980014840407,1734.7561941611657,6607.203835519649,4872.447641358483
2025-01-20 05:00:00,4171.325698449884,1735.0059101813094,6607.645486718458,4872.639576537149
2025-01-20 06:00:00,4171.671238017416,1735.2555658951183,6608.086910139713,4872.831344244594
